index,keywords
0,academics
1,active
2,answering
3,anxiety
4,assignments
5,attention
6,auditory
7,avoidance
8,balance
9,beginning
10,behavior
11,behaviors
12,behind
13,blending
14,causing
15,communication
16,completing
17,comprehension
18,concentration
19,concepts
20,concerning
21,coordinated
22,coordination
23,core
24,delayed
25,difficulty
26,distractibility
27,dyslexia
28,dyslexic
29,emotional
30,esteem
31,excessive
32,executive
33,expression
34,extreme
35,eye
36,falling
37,fluency
38,focus
39,focusing
40,follow-through
41,frustration
42,function
43,functioning
44,grades
45,grasping
46,habits
47,hard
48,impulsiveness
49,independence
50,independently
51,issues
52,language
53,learning
54,letter
55,letters
56,lines
57,listening
58,loses
59,losing
60,low
61,management
62,math
63,memory
64,messy
65,missing
66,motivation
67,new
68,not
69,number
70,numbers
71,oral
72,organization
73,organizing
74,overall
75,overload
76,overly
77,phonics
78,place
79,planning
80,poor
81,prioritization
82,processing
83,procrastination
84,questions
85,reading
86,reflexes
87,regulation
88,reversals
89,school
90,schoolwork
91,self
92,self-esteem
93,self-motivation
94,self-starting
95,sensory
96,skills
97,skipping
98,skips
99,slow
100,social
101,speech
102,speed
103,spelling
104,starting
105,strengthen
106,struggle
107,struggles
108,study
109,taking
110,tendencies
111,test
112,time
113,tracking
114,understanding
115,unsafe
116,verbal
117,visual
118,words
119,work
120,works
121,writing
